macrorep i x y cond_mean cond_var cei lf hf maxcei x_star lf_next hf_next
5.000000000000000000e+00 8.900000000000000000e+01 1.000000000000000021e-02 0.000000000000000000e+00 5.832636953423059670e-03 9.237790582199348344e-02 2.860334482502610099e-05 0.000000000000000000e+00 0.000000000000000000e+00 1.540000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e+00 8.900000000000000000e+01 2.000000000000000042e-02 0.000000000000000000e+00 4.416860643973930488e-03 1.702031858977900158e-01 6.610590030923643376e-04 0.000000000000000000e+00 0.000000000000000000e+00 1.540000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e+00 8.900000000000000000e+01 2.999999999999999889e-02 0.000000000000000000e+00 2.982952677456737929e-03 2.354788298822434456e-01 2.310116594573582288e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.540000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e+00 8.900000000000000000e+01 4.000000000000000083e-02 0.000000000000000000e+00 1.521701722843289001e-03 2.898848373781494070e-01 4.568336810910251372e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.540000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e+00 8.900000000000000000e+01 5.000000000000000278e-02 0.000000000000000000e+00 2.372079953753998549e-05 3.348214560951217056e-01 6.999109444846135508e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.540000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e+00 8.900000000000000000e+01 6.000000000000000472e-02 0.000000000000000000e+00 -1.520613023974029879e-03 3.714452200324798725e-01 9.325845330601760519e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.540000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e+00 8.900000000000000000e+01 6.999999999999999278e-02 0.000000000000000000e+00 -3.121220447205317119e-03 4.006987152010532127e-01 1.139517650843528684e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.540000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e+00 8.900000000000000000e+01 8.000000000000000167e-02 0.000000000000000000e+00 -4.788383667595652593e-03 4.233348389644480680e-01 1.312756333636263401e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.540000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e+00 8.900000000000000000e+01 8.999999999999999667e-02 0.000000000000000000e+00 -6.532812432673919950e-03 4.399361773625717342e-01 1.448411371520551966e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.540000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e+00 8.900000000000000000e+01 9.999999999999999167e-02 0.000000000000000000e+00 -8.365712838776450180e-03 4.509299991316989553e-01 1.544680049523749349e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.540000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
