macrorep i x y cond_mean cond_var cond_mean_err cond_var_err cei lf hf maxcei x_star lf_next hf_next
0.000000000000000000e+00 2.400000000000000000e+02 1.000000000000000021e-02 0.000000000000000000e+00 -5.037449872183324961e-02 2.266527480036524544e-02 -6.046554208240246808e-01 1.244165615308553009e-03 2.318936312652038971e-13 0.000000000000000000e+00 0.000000000000000000e+00 8.070000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.400000000000000000e+02 2.000000000000000042e-02 0.000000000000000000e+00 -5.666706995523002749e-02 4.423028855128195019e-02 -6.042829030000321788e-01 2.359939574863385760e-03 1.676935798648803557e-08 0.000000000000000000e+00 0.000000000000000000e+00 8.070000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.400000000000000000e+02 2.999999999999999889e-02 0.000000000000000000e+00 -6.296445933214185608e-02 6.472807486179990577e-02 -6.039081896670097649e-01 3.360503053455949230e-03 1.193043150689903557e-06 0.000000000000000000e+00 0.000000000000000000e+00 8.070000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.400000000000000000e+02 4.000000000000000083e-02 0.000000000000000000e+00 -6.926907823042469103e-02 8.419003254609050413e-02 -6.035301749736156074e-01 4.257676189016808450e-03 1.183891707994824075e-05 0.000000000000000000e+00 0.000000000000000000e+00 8.070000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.400000000000000000e+02 5.000000000000000278e-02 0.000000000000000000e+00 -7.558334079624159929e-02 1.026459737206175671e-01 -6.031477433255565401e-01 5.062057719593893168e-03 5.055426640094553767e-05 0.000000000000000000e+00 0.000000000000000000e+00 8.070000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.400000000000000000e+02 6.000000000000000472e-02 0.000000000000000000e+00 -8.190966486848048900e-02 1.201241694707811669e-01 -6.027597660932541013e-01 5.783150191346081263e-03 1.387043707011023207e-04 0.000000000000000000e+00 0.000000000000000000e+00 8.070000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.400000000000000000e+02 6.999999999999999278e-02 0.000000000000000000e+00 -8.825047290458593041e-02 1.366513931569869333e-01 -6.023650982810405674e-01 6.429472216694447420e-03 2.926346571055712942e-04 0.000000000000000000e+00 0.000000000000000000e+00 8.070000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.400000000000000000e+02 8.000000000000000167e-02 0.000000000000000000e+00 -9.460819290815941640e-02 1.522529614264782338e-01 -6.019625751480564002e-01 7.008659108790655720e-03 5.210115205522003468e-04 0.000000000000000000e+00 0.000000000000000000e+00 8.070000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.400000000000000000e+02 8.999999999999999667e-02 0.000000000000000000e+00 -1.009852593586833547e-01 1.669527729937529681e-01 -6.015510087708744180e-01 7.527553081146024991e-03 8.255528821296083050e-04 0.000000000000000000e+00 0.000000000000000000e+00 8.070000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.400000000000000000e+02 9.999999999999999167e-02 0.000000000000000000e+00 -1.073841141437248542e-01 1.807733452489705406e-01 -6.011291845377093601e-01 7.992284077992782912e-03 1.202879756112962620e-03 0.000000000000000000e+00 0.000000000000000000e+00 8.070000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
