macrorep i x y cond_mean cei lf hf maxcei x_star lf_next hf_next
0.000000000000000000e+00 4.570000000000000000e+02 1.000000000000000021e-02 0.000000000000000000e+00 -4.939918492732349453e-02 1.661537008662291528e-11 0.000000000000000000e+00 0.000000000000000000e+00 7.920000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 4.570000000000000000e+02 2.000000000000000042e-02 0.000000000000000000e+00 -5.471606858598557915e-02 8.338326163187352252e-08 0.000000000000000000e+00 0.000000000000000000e+00 7.920000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 4.570000000000000000e+02 2.999999999999999889e-02 0.000000000000000000e+00 -6.003702331632410072e-02 2.792699660670698049e-06 0.000000000000000000e+00 0.000000000000000000e+00 7.920000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 4.570000000000000000e+02 4.000000000000000083e-02 0.000000000000000000e+00 -6.536408660270620619e-02 1.953054104553386639e-05 0.000000000000000000e+00 0.000000000000000000e+00 7.920000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 4.570000000000000000e+02 5.000000000000000278e-02 0.000000000000000000e+00 -7.069929826856941046e-02 6.778775589724272792e-05 0.000000000000000000e+00 0.000000000000000000e+00 7.920000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 4.570000000000000000e+02 6.000000000000000472e-02 0.000000000000000000e+00 -7.604470125750470433e-02 1.612592347705874875e-04 0.000000000000000000e+00 0.000000000000000000e+00 7.920000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 4.570000000000000000e+02 6.999999999999999278e-02 0.000000000000000000e+00 -8.140234241553470640e-02 3.050787282243253191e-04 0.000000000000000000e+00 0.000000000000000000e+00 7.920000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 4.570000000000000000e+02 8.000000000000000167e-02 0.000000000000000000e+00 -8.677427327488576592e-02 4.964063156940833055e-04 0.000000000000000000e+00 0.000000000000000000e+00 7.920000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 4.570000000000000000e+02 8.999999999999999667e-02 0.000000000000000000e+00 -9.216255083955465777e-02 7.269015414734705111e-04 0.000000000000000000e+00 0.000000000000000000e+00 7.920000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 4.570000000000000000e+02 9.999999999999999167e-02 0.000000000000000000e+00 -9.756923837297071245e-02 9.851491730665422678e-04 0.000000000000000000e+00 0.000000000000000000e+00 7.920000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
